#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
_id,ltable.id,rtable.id,ltable.bike_name,ltable.city_posted,ltable.km_driven,ltable.price,ltable.color,rtable.bike_name,rtable.city_posted,rtable.km_driven,rtable.price,rtable.color,gold
1006289,38386,30801,Honda CBR 250R Standard,Delhi,9300,100000,silver,Honda CBR250R Repsol-ABS,Delhi,9500,95000,red,0
1038415,38398,29224,Royal Enfield Bullet Electra Twinspark,Delhi,22000,74000,silver,Royal Enfield Electra Standard,Delhi,21000,77000,silver,1
1101345,38419,11287,Yamaha YZF R15,Delhi,20000,59999,blue,Yamaha FZ S Standard,Delhi,20000,45000,black,0
1119354,38571,31995,Bajaj Pulsar 150cc Dtsi,Delhi,75000,22499,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,75000,20000,black,1
1156573,38585,15250,Hero Honda Cbz Xtreme Self Start,Delhi,49000,31999,black,Hero Honda Karizma ZMR Standard,Delhi,50000,50000,white,0
1210654,38649,6211,Bajaj Pulsar 180cc Dtsi,Delhi,25000,18000,black,Bajaj Pulsar 180 DTS- i Standard,Delhi,25000,32000,silver,0
1254912,39028,32248,Hero Honda Hunk,Delhi,25000,50000,black,Hero Honda Karizma ZMR Standard,Delhi,24000,80000,black,0
1254919,39028,32301,Hero Honda Hunk,Delhi,25000,50000,black,Hero Honda Splendor PRO Kick,Delhi,26000,30000,grey,0
1273726,39039,26622,Hero Honda Passion Pro,Delhi,10000,24999,red,Hero Honda Splendor Plus Disc,Delhi,11000,40000,black,0
1323871,39088,9678,Royal Enfield Bullet Electra Twinspark,Delhi,26000,75000,maroon,Royal Enfield Bullet Electra Twinspark Disc/Electric start,Delhi,25000,68000,silver,0
1345449,39094,33981,Hero Honda Cd Deluxe,Delhi,17000,34999,black,Hero Honda Passion PRO Standard,Delhi,17000,40000,black,0
1366084,39102,12841,Hero Honda Splendor Super,Delhi,60000,13000,blue,Hero Honda Passion Standard,Delhi,60000,20000,silver,0
1366526,39102,17487,Hero Honda Splendor Super,Delhi,60000,13000,blue,Hero Honda Karizma Standard,Delhi,61000,19000,black,0
1411414,39118,14272,Bajaj Discover 125 M Drum,Delhi,27000,24999,red,Bajaj Discover125 Drum Brake,Delhi,26000,20000,black,0
1420209,39121,3884,Bajaj Discover 125 M Drum,Delhi,32000,12000,black,Bajaj Discover125 Drum Brake,Delhi,31500,25000,black,1
1469082,39369,9638,Bajaj Discover 100,Delhi,65000,18000,red,Bajaj Discover 100 4 Speed,Delhi,65000,27000,black,0
1571644,39405,1312,Hyosung Gt 250r,Delhi,500,270000,black,Hyosung GT250R Standard,Delhi,100,280000,red,0
1580006,39459,23149,Bajaj Discover 100 M Disc,Delhi,3600,47999,black,Bajaj Discover 100 4 Speed,Delhi,3500,28000,blue,0
1602230,39506,18936,Bajaj Pulsar 150cc Dtsi,Delhi,28000,34999,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,28000,35000,blue,0
1645437,39654,32820,Yamaha FZS FI Version 2.0,Delhi,17000,64000,green,Yamaha YZF R15 V 2.0,Delhi,16000,90000,black,0
1697231,39906,34438,Yamaha YZF R15 Version 2.0,Delhi,12000,99999,black,Yamaha YZF R15 V 2.0,Delhi,12000,100000,blue,0
1709352,39910,26465,Suzuki Gixxer 150,Delhi,1700,79000,maroon,Suzuki Gixxer Standard,Delhi,700,75000,white,0
1770690,39929,26674,Bajaj Pulsar 135,Delhi,22300,29999,red,Bajaj Pulsar 135 LS Standard,Delhi,23000,35000,red,1
1811936,39989,18362,Hero Honda Cbz Xtreme Self Start,Delhi,26000,39000,black,Hero Honda Passion PRO Standard,Delhi,27000,33000,black,0
1912819,40147,28127,Hero Honda Cbz Xtreme Self Start,Delhi,13000,60000,black,Hero Xtreme 2014 Self Start Double Disc Brake Alloy Wheel,Delhi,12500,65000,black,1
1918396,40154,17997,Bajaj Pulsar 200 NS,Delhi,60000,17000,black,Bajaj Pulsar 200 Standard,Delhi,60000,30000,grey,0
1983842,40425,28483,Royal Enfield Bullet Electra Twinspark,Delhi,40000,74000,black,Royal Enfield Machismo 350,Delhi,40000,70000,green,0
1989924,40427,24314,Hero Honda Passion Pro,Delhi,34000,29000,silver,Hero Honda Passion Plus Drum,Delhi,34500,32000,black,0
2006684,40432,30992,Hero Motocorp Passion Xpro Disc Self Cast,Delhi,12300,38000,silver,Hero Passion X Pro Drum Self Alloy,Delhi,11500,36000,red,0
2054559,40482,25290,Yamaha SZ S,Delhi,10500,28000,black,Yamaha SZ R Standard,Delhi,11500,35000,blue,0
2097390,40590,34527,Honda Stunner CBF Self Disc Alloy,Delhi,25000,25000,red,Honda CBF Stunner Self,Delhi,25000,23500,red,1
2119469,40597,29302,Yamaha FZS FI Version 2.0,Delhi,8000,53000,green,Yamaha YZF R15 V 2.0,Delhi,9000,80000,red,0
2125710,40613,27199,Hero Honda Hunk,Delhi,17000,26000,red,Hero Honda Karizma ZMR Standard,Delhi,17000,41000,black,0
2155493,40793,34705,Bajaj Pulsar RS 200 Standard,Delhi,2000,110000,yellow,Bajaj Pulsar NS200 Standard,Delhi,1300,90000,black,0
2156583,40794,11383,Bajaj Discover 100,Delhi,24000,28500,black,Bajaj Discover 100 5 Speed,Delhi,23000,35000,black,1
2165637,40797,3807,Bajaj Pulsar 135,Delhi,18500,32000,black,Bajaj Pulsar 135 LS Standard,Delhi,18500,50000,red,0
2209876,40812,29944,Hero Honda Karizma R,Delhi,38000,30000,red,Hero Honda Passion PRO Standard,Delhi,37000,30000,red,0
2222360,40816,25249,Hero Honda Cbz Xtreme Self Start,Delhi,16000,26999,black,Hero Honda Karizma Standard,Delhi,15000,40000,red,0
2254809,40827,27489,TVS Apache RTR 160,Delhi,30000,40000,black,TVS Apache RTR 160 Rear Disc Brake,Delhi,30000,50000,green,0
2335708,41061,29673,Bajaj Pulsar 150cc Dtsi,Delhi,40000,11000,black,Bajaj Pulsar 150 Kick Start,Delhi,40000,15000,red,0
2371886,41217,777,Hero Honda Karizma R,Delhi,26000,29000,yellow,Hero Karizma R,Delhi,27000,50000,black,0
2424846,41233,15882,Yamaha YZF R15 Version 2.0,Delhi,13000,69000,red,Yamaha YZF R15 V 2.0,Delhi,13000,120000,green,0
2444610,41351,20364,Bajaj Discover 100,Delhi,25000,22999,black,Bajaj Discover 100 5 Speed Self,Delhi,25000,25000,black,1
2504603,41534,5186,Bajaj Pulsar 180cc Dtsi,Delhi,35000,24999,black,Bajaj Pulsar 180 DTS- i Standard,Delhi,35000,42000,black,1
2514639,41537,9694,Bajaj Pulsar 135,Delhi,20000,29999,black,Bajaj Pulsar 135 LS Standard,Delhi,21000,40000,black,1
2515074,41537,14534,Bajaj Pulsar 135,Delhi,20000,29999,black,Bajaj Pulsar 135 LS Standard,Delhi,20000,32000,black,1
2535342,41543,24897,Hero Motocorp Passion Xpro Disc Self Cast,Delhi,10000,49999,black,Hero Passion X Pro Disc Self Alloy,Delhi,9500,50000,black,1
2585276,41677,5173,Bajaj Pulsar 150cc Dtsi,Delhi,35000,34000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,35000,35000,black,1
2591307,41679,578,Bajaj Pulsar 150cc Dtsi,Delhi,13000,35000,black,Bajaj Pulsar 150 DTS- i,Delhi,12000,50000,black,1
2633544,41805,3701,Bajaj Pulsar 150cc Dtsi,Delhi,40000,9000,blue,Bajaj Pulsar 150 DTS- i Standard,Delhi,40000,15000,black,0
2642360,41807,30538,Bajaj Pulsar 150cc Dtsi,Delhi,45000,39999,red,Bajaj Pulsar 150 DTS- i Standard,Delhi,45500,35000,black,0
2655821,41812,343,Bajaj Pulsar 150cc Dtsi,Delhi,36000,32000,black,Bajaj Pulsar 150 DTS- i,Delhi,35000,38000,black,1
2678290,41818,34846,Hero Honda Hunk,Delhi,60000,35000,red,Hero Honda CD Deluxe Standard,Delhi,60000,20000,black,0
2702951,41827,22493,Royal Enfield Thunderbird 350,Delhi,7000,110000,Lightning,Royal Enfield Thunderbird 350 Disc,Delhi,7000,125000,black,0
2715862,41832,22515,Suzuki Gixxer SF Standard,Delhi,9000,74999,black,Yamaha FZ S Standard,Delhi,8000,80000,green,0
2716058,41832,24925,Suzuki Gixxer SF Standard,Delhi,9000,74999,black,Yamaha SZ R Standard,Delhi,8600,55000,red,0
2728804,41836,22931,TVS Star City Alloy,Delhi,26500,12999,black,TVS Star City Alloy wheels,Delhi,26000,18000,grey,0
2742411,41848,30747,Bajaj Pulsar 150cc Dtsi,Delhi,52000,26000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,51400,24000,black,1
2754270,41936,18937,Honda Stunner CBF Self Disc Alloy,Delhi,35000,24000,yellow,Hero Honda Glamour Disc Self,Delhi,35000,34500,red,0
2792475,42106,13409,Bajaj Pulsar 150cc Dtsi,Delhi,13000,45000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,12000,42000,black,1
2817807,42114,7681,Hero Honda Passion Pro,Delhi,7500,34000,black,Hero Passion PRO Self Spoke,Delhi,6500,45000,black,1
2833231,42120,35218,Honda CBR 250R Standard,Delhi,25000,95000,silver,Hero Honda Passion PRO Standard,Delhi,25000,39000,green,0
2880742,42137,26280,Yamaha YZF R15 Version 2.0,Delhi,7000,95000,black,Yamaha YZF R15 V 2.0,Delhi,6600,90000,blue,0
2894362,42265,33562,Bajaj Pulsar 150cc Dtsi,Delhi,50000,14999,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,50000,30000,black,1
2911903,42529,13713,Bajaj Pulsar 135,Delhi,6000,39999,black,Bajaj Pulsar 135 LS Standard,Delhi,6500,55000,black,1
2924576,42533,11002,Bajaj Pulsar 180cc Dtsi,Delhi,30000,29000,blue,Bajaj Pulsar 180 DTS- i Standard,Delhi,30000,55000,colour,0
2927260,42534,4336,Yamaha FZ S,Delhi,25000,42000,black,Yamaha SZ R Standard,Delhi,25000,35000,black,0
2932758,42535,30270,Bajaj Pulsar 135,Delhi,27034,24999,black,Bajaj Pulsar 135 LS Standard,Delhi,28000,30000,black,1
2971221,42548,27618,Honda Unicorn Alloy,Delhi,35000,17999,black,Honda CB Unicorn Standard,Delhi,34000,28000,silver,0
2993575,42555,24894,Royal Enfield Bullet Electra Twinspark,Delhi,15000,95000,black,Royal Enfield Bullet Electra Twinspark Disc/Electric start,Delhi,14000,90000,silver,0
2997613,42556,33420,Royal Enfield Bullet 350 Twinspark,Delhi,200,160000,white,Royal Enfield Thunderbird 350 Disc,Delhi,100,150000,Metallic Brown,0
3021155,42564,8232,Yamaha SZ RR,Delhi,16000,34999,red,Yamaha YZF R15 V1,Delhi,16000,80000,blue,0
3022163,42564,19529,Yamaha SZ RR,Delhi,16000,34999,red,Yamaha FZ S Standard,Delhi,15000,50000,black,0
3058542,42699,29494,Bajaj Pulsar 180cc Dtsi,Delhi,30500,34999,blue,Bajaj Pulsar 180 DTS- i Standard,Delhi,30000,35000,black,0
3088855,42712,7427,Bajaj Discover 100,Delhi,30000,21999,red,Bajaj Discover 100 5 Speed,Delhi,30000,32000,black,0
3089220,42712,11800,Bajaj Discover 100,Delhi,30000,21999,red,Bajaj Discover 100 5 Speed Self,Delhi,30000,33000,black,0
3128680,42725,19772,Honda CBR 150R Deluxe,Delhi,6000,79999,orange,Honda Activa Deluxe,Delhi,6700,480000,black,0
3191420,42746,35128,Yamaha YZF R15,Delhi,22000,65000,red,Yamaha SZ R Standard,Delhi,21000,30000,black,0
3213268,42803,27834,Hero Honda Splendor Plus,Delhi,10000,39999,black,Hero Honda Karizma Standard,Delhi,10000,40000,yellow,0
3296630,42833,21472,Yamaha Fazer Sport,Delhi,29000,40000,black,Yamaha Fazer Standard,Delhi,30000,45000,black,1
3297125,42833,27444,Yamaha Fazer Sport,Delhi,29000,40000,black,Yamaha FZ16 Standard,Delhi,28000,35000,black,0
3298308,42907,3713,Bajaj Pulsar 150 NS,Delhi,50000,23999,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,50000,30000,black,1
3323053,42914,28534,Bajaj Discover 150 S Disc,Delhi,35000,22999,black,Bajaj Discover 150 Standard,Delhi,34000,31000,black,1
3338320,42920,18551,Hero Honda Karizma Zmr Pgm Fi,Delhi,16300,42999,white,Hero Honda Hunk Standard,Delhi,16808,40000,black,0
3339604,42920,32762,Hero Honda Karizma Zmr Pgm Fi,Delhi,16300,42999,white,Hero Honda Xtreme Standard,Delhi,16500,50000,black,0
3411644,43159,8494,Hero Honda Karizma R,Delhi,17000,33000,black,Hero Karizma R,Delhi,17000,32000,red,0
3412239,43159,15169,Hero Honda Karizma R,Delhi,17000,33000,black,Hero Honda CBZ extreme Self,Delhi,17000,40000,black,0
3419352,43161,22554,Yamaha SZ RR,Delhi,18000,44999,red,Yamaha FZ S Standard,Delhi,19000,55000,black,0
3428420,43455,15684,Hero Honda Cbz Xtreme Self Start,Delhi,50000,20000,black,Hero Honda Passion PRO Standard,Delhi,51000,26000,red,0
3432158,43461,21325,Yamaha YZF R15 Version 2.0,Delhi,13000,82000,red,Yamaha YZF R15 V 2.0,Delhi,12000,85000,red,1
3513371,43490,27745,Hero Honda Passion Plus,Delhi,35000,16999,black,Hero Honda CD Deluxe Standard,Delhi,35000,10000,blue,0
3516373,43491,25071,Bajaj Pulsar 150cc Dtsi,Delhi,24500,28000,red,Bajaj Pulsar 150 DTS- i Standard,Delhi,24500,30000,red,1
3560001,43505,7467,Bajaj Discover 125 Disc,Delhi,25000,20499,black,Bajaj Discover125 Disc Brake,Delhi,25000,38000,black,1
3591623,43514,35627,Bajaj Pulsar 220F Dtsi,Delhi,37000,47000,blue,Bajaj Avenger 220 DTS- i,Delhi,38000,45000,black,0
3630014,43710,32566,Bajaj Pulsar 150cc Dtsi,Delhi,33000,50000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,33333,50000,black,1
3631945,43711,18079,Bajaj Pulsar 220F Dtsi,Delhi,35000,59999,black,Bajaj Pulsar 220S Standard,Delhi,35000,50000,black,1
3637755,43713,11187,Bajaj Pulsar 150cc Dtsi,Delhi,70000,17999,black,Bajaj Pulsar 150 DTS- i Kick Start,Delhi,71000,20000,black,1
3692341,43730,7890,Hero Honda Karizma Zmr Pgm Fi,Delhi,6500,79999,red,Hero Karizma ZMR Standard,Delhi,6200,65000,black,0
3778687,43760,34784,Yamaha Fazer Fi Version 2.0,Delhi,15000,41999,black,Yamaha Fazer Standard,Delhi,16000,40000,black,1
3798982,44080,9683,Bajaj Pulsar 150cc Dtsi,Delhi,37000,29000,silver,Bajaj Pulsar 150 DTS- i Standard,Delhi,38000,22000,black,0
3800213,44080,23579,Bajaj Pulsar 150cc Dtsi,Delhi,37000,29000,silver,Bajaj Pulsar 150 DTS- i Standard,Delhi,36000,28000,black,0
3816230,44088,22058,Bajaj Pulsar 150cc Dtsi,Delhi,50000,14000,blue,Bajaj Pulsar 150 Kick Start,Delhi,50000,18000,blue,1
3838159,44095,14676,Hero Honda CBZ Self,Delhi,45000,25000,black,Hero Honda Passion Plus Drum,Delhi,45000,20000,red,0
3839235,44095,27019,Hero Honda CBZ Self,Delhi,45000,25000,black,Hero Honda Passion Standard,Delhi,45000,12000,black,0
3841965,44096,21005,Royal Enfield Bullet Electra,Delhi,35000,120000,silver,Royal Enfield Thunderbird 350 Standard,Delhi,35000,60000,silver,0
3879733,44312,10617,Bajaj Discover 100,Delhi,26000,28500,red,Bajaj Discover 100 5 Speed,Delhi,25000,36000,black,0
3893401,44317,18937,Hero Honda Hunk,Delhi,35000,20000,black,Hero Honda Glamour Disc Self,Delhi,35000,34500,red,0
3900580,44320,27491,Hero Honda Splendor Plus,Delhi,70000,21000,black,Hero Honda Passion Plus Drum,Delhi,70000,20000,black,0
3922692,44329,21731,Honda CBR 250R ABS,Delhi,2100,120000,black,Honda CBR250R Sports Red-STD,Delhi,2000,125000,black,1
3967494,44547,17536,Bajaj Pulsar 180cc Dtsi,Delhi,49000,29000,black,Bajaj Pulsar 180 DTS- i Standard,Delhi,48000,24000,black,1
3984951,44553,32225,Bajaj Pulsar 135,Delhi,50000,30000,red,Bajaj Pulsar 135 LS Standard,Delhi,50000,25000,red,1
3993786,44556,22898,Bajaj Pulsar 150cc Dtsi,Delhi,29000,28000,red,Bajaj Pulsar 150 DTS- i Standard,Delhi,28000,30000,silver,0
4022270,44567,16701,Hero Honda Passion Pro,Delhi,60000,20999,red,Hero Honda CBZ Disc,Delhi,60000,10000,silver,0
4022591,44567,20054,Hero Honda Passion Pro,Delhi,60000,20999,red,Hero Honda Passion Standard,Delhi,59000,15000,black,0
4057435,44579,13185,Yamaha FZ S,Delhi,15500,48000,blue,Yamaha YZF R15 V 2.0,Delhi,15000,80000,black,0
4058467,44579,24717,Yamaha FZ S,Delhi,15500,48000,blue,Yamaha Fazer Standard,Delhi,16000,65000,black,0
4074370,44584,21809,Yamaha Fazer Sport,Delhi,20000,40000,red,Yamaha Fazer Standard,Delhi,20000,40000,black,0
4090352,44658,20005,Hero Honda Splendor Nxg,Delhi,35000,27000,black,Hero Honda CD Dawn Standard,Delhi,36000,22000,black,0
4143924,44739,5233,Bajaj Pulsar 150cc Dtsi,Delhi,28000,12000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,28000,22000,black,1
4245097,44799,18381,Hero Honda Cbz Xtreme Self Start,Delhi,47000,14999,black,Hero Honda CBZ extreme Self,Delhi,46000,24500,black,1
4251853,44801,21783,Hero Honda Cbz Xtreme Self Start,Delhi,26000,45000,black,Hero Honda Karizma ZMR Standard,Delhi,25000,45000,red,0
4299664,44831,15169,Hero Honda Karizma R,Delhi,16500,27000,yellow,Hero Honda CBZ extreme Self,Delhi,17000,40000,black,0
4319045,45125,15372,Yamaha YZF R15,Delhi,30000,47000,blue,Yamaha YZF R15 V1,Delhi,30000,60000,black,0
4325267,45127,13074,Yamaha FZ S,Delhi,19000,40000,red,Yamaha SZ R Standard,Delhi,20000,45000,black,0
4362555,45140,32701,Honda Stunner CBF Self Disc Alloy,Delhi,33000,25000,black,Honda CBF Stunner Disc Self,Delhi,33000,32000,yellow,0
4365820,45141,33016,Honda CB Twister Self Drum Alloy,Delhi,23000,27999,black,Honda CB Twister Disc/Electric start,Delhi,23000,34000,red,0
4417900,45159,1857,Bajaj Pulsar 150cc Dtsi,Delhi,35000,19000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,35000,30000,black,1
4418625,45159,10450,Bajaj Pulsar 150cc Dtsi,Delhi,35000,19000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,35000,25000,black,1
4418755,45159,11864,Bajaj Pulsar 150cc Dtsi,Delhi,35000,19000,black,Bajaj Pulsar 150 DTS- i Kick Start,Delhi,36000,28000,black,1
4467276,45232,13324,Royal Enfield Bullet Electra Twinspark,Delhi,30000,76999,silver,Royal Enfield Electra 5 S Drum Kick,Delhi,29000,80000,black,0
4538208,45468,12572,Bajaj Pulsar 150cc Dtsi,Delhi,30000,23000,black,Bajaj Pulsar 150 DTS- i Standard,Delhi,31000,27000,black,1
4564014,45531,12333,Yamaha SZ RR,Delhi,7000,49999,red,Yamaha Fazer Standard,Delhi,6000,50000,blue,0
4629914,45625,27749,Bajaj Avenger 220,Delhi,13000,54000,blue,Bajaj Avenger 220 DTS- i,Delhi,12000,53000,red,0
4684781,45642,27836,Honda CBR 150R Standard,Delhi,460,110000,Orenge,Bajaj Pulsar 150 DTS- i Standard,Delhi,100,70000,black,0
4722849,45655,20043,Yamaha Sz R,Delhi,20000,34000,black,Yamaha FZ S Standard,Delhi,20000,50000,black,0
4752984,45664,32275,Yamaha YZF R15 Version 2.0,Delhi,22000,67000,black,Yamaha YZF R15 V 2.0,Delhi,22000,75000,blue,0
4823796,45881,30386,Royal Enfield Thunderbird 350,Delhi,6500,110000,Twilight,Royal Enfield Thunderbird 350 Disc,Delhi,5670,110000,black,0
4856469,45963,34469,Yamaha FZS FI Version 2.0,Delhi,700,80000,green,Yamaha FZ S V 2.0 Standard,Delhi,800,82000,black,0
4879153,45986,35245,Bajaj Pulsar 150cc Dtsi,Delhi,30000,22000,red,Bajaj Pulsar 150 Kick Start,Delhi,30000,20000,black,0
4926707,46003,26748,Royal Enfield Classic 350,Delhi,6100,120000,maroon,Royal Enfield Thunderbird 350 Standard,Delhi,6500,130000,blue,0
4977739,46329,19670,Bajaj Pulsar 220F Dtsi,Delhi,4200,80000,black,Bajaj Pulsar 220F Standard,Delhi,4500,70000,red,0
4982110,46431,32357,Bajaj Pulsar 220F Dtsi,Delhi,15000,45000,black,Bajaj Pulsar 220 Fi Standard,Delhi,15000,72000,red,0
5035311,46470,14110,Hero Honda Karizma R,Delhi,15000,24000,black,Hero Honda Karizma Standard,Delhi,15000,35000,yellow,0
5059499,46478,31813,Honda Stunner CBF Self Disc Alloy,Delhi,35000,31500,red,Honda CBF Stunner Disc Self,Delhi,35000,35000,black,0
5097388,46490,22515,Yamaha FZ16,Delhi,8700,54000,green,Yamaha FZ S Standard,Delhi,8000,80000,green,0
5097584,46490,24925,Yamaha FZ16,Delhi,8700,54000,green,Yamaha SZ R Standard,Delhi,8600,55000,red,0
5117423,46524,30142,Bajaj Pulsar 150cc Dtsi,Delhi,60000,21000,silver,Bajaj Pulsar 150 DTS- i Standard,Delhi,60000,30000,black,0
5166308,46541,34858,TVS Apache RTR 180,Delhi,8000,64999,grey,TVS Apache RTR 180 Standard,Delhi,9000,75000,grey,1
5170716,46543,12834,Yamaha FZ S,Delhi,8700,49000,red,Yamaha FZ16 Standard,Delhi,8800,55000,red,0
5170755,46543,13219,Yamaha FZ S,Delhi,8700,49000,red,Yamaha YZF R15 V 2.0,Delhi,9700,80000,black,0
